,pseado,tweet,lesreaction
341,Jean Louis@JL7508·22 août,"Volonté de l'exécutif de limiter l'usage de jets privés: ""C'est l'apparition du rationnement. Pour autant, l'avion privé a une forme d'utilité sociale que n'a pas le jet-ski qu'utilise notre président. Je commencerais par interdire le jet-ski"" ironise François Lenglet.","72 réponses, 286 Retweets, 859 J'aime"
342,L'Obs@lobs·20 août,Le ministre des Transports Clément Beaune veut « réguler les vols en jet privé » https://nouvelobs.com/politique/20220820.OBS62225/le-ministre-des-transports-clement-beaune-veut-reguler-les-vols-en-jet-prive.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1661015488…,"15 réponses, 13 Retweets, 35 J'aime"
343,Mathieu Doligé@MathieuDolige·22 août,"Je le refais car nouveautés du jour :
Cisgenre = barbecue = carnivore = résidence secondaire = arrosage = piscine = golf = véhicule thermique = jet privé = yacht = CAC40 = riche = extrême droite.","11 réponses, 19 Retweets, 98 J'aime"
344,Ph. Moreau Chevrolet@moreauchevrolet·26 août,"La piscine c'est pas élitiste, d'ailleurs les Français qui n'ont pas les moyens de partir en vacances en ont tous une dans leur jardin, à côté de leur jet privé.","7 réponses, 8 Retweets, 24 J'aime"
345,Ronan Dantec@RonanDantec·21 août,Puis je rappeler que l’amendement que j’ai déposé en #plfr2022 @ecologistesenat pour que déjà un passager de jet privé paye lui aussi la « taxe Chirac » sur les billets d’avion ( comme les passagers des autres vols ) a été repoussé par le gouvernement et la droite sénatoriale ?!,"8 réponses, 114 Retweets, 241 J'aime"
346,Sangha #Frexit / Macron Destitution Article 68@Sangha40409046·19 août,"Les gueux sont responsables du réchauffement climatique, ils  polluent avec leurs clims, leurs voitures, leurs chauffages etc....
Les gentils riches eux sont écolos quand ils se déplacent en jet privé, ou qu'ils chauffent des villas démesurées, où se déplace en limousine etc...","9 Retweets, 17 J'aime"
347,marou @marou_pp·21 août,"Le jet privé + le yacht de Bernard Arnault seul émettent environ 18'000T/an de CO2.

Les sources que j'ai trouvé parlent de 6 à 10MT de CO2/an qui auraient été ""économisés"" en prolongeant Fessenheim (2 réacteurs).

 Niveau CO2, 222 Arnault ~= 1 réacteur nucléaire prolongé.","7 réponses, 9 Retweets, 38 J'aime"
348,Damien Dole@DamienDole·23 août,"Je pense à la liberté fondamentale que représente le fait de jouer au golf, de prendre un jet privé et de posséder un yacht.","3 réponses, 13 Retweets, 97 J'aime"
349,Renaud Tarlet @RenaudTarlet·24 août,"""Enfin, pour vous les gueux. Parce que pour moi et mes potes c'est golf, jet privé, dividendes juteux et piscines privées. Vous, par contre, vous allez en chier.""","10 réponses, 85 Retweets, 262 J'aime"
350,Ph. Moreau Chevrolet@moreauchevrolet·26 août,"La piscine c'est pas élitiste, d'ailleurs les Français qui n'ont pas les moyens de partir en vacances en ont tous une dans leur jardin, à côté de leur jet privé.","7 réponses, 8 Retweets, 24 J'aime"
351,Le HuffPost@LeHuffPost·23 août,Qui utilise un jet privé en France (et pour quoi faire) ?,"15 réponses, 6 Retweets, 9 J'aime"
352,Lucas Planavergne@lucas_plana·22 août,"""Réguler les vols en jet privé"" : en rétablissant l'ISF sur les joujoux pour milliardaires ? 

Par @LouisNadau sur le site de @MarianneleMag ","4 réponses, 7 Retweets, 14 J'aime"
353,Asharas@AsharasInABox·24 août,Un jet privé peut être un transport commercial?,
354,Maatnefer ResistSR@Maatnefer1·22 août,"Je ne suis pas riche et je ne le serai jamais. Je n'aurai jamais de #JetPrivé. Mais maintenant à cause de types comme #bayou, je ne peux même plus fantasmer sur les petits plaisirs de ma vie de riche que j'aurai jamais! 
#DéfendonsLesRiches","9 réponses, 20 Retweets, 90 J'aime"
355,Renaud Tarlet @RenaudTarlet·24 août,"""Enfin, pour vous les gueux. Parce que pour moi et mes potes c'est golf, jet privé, dividendes juteux et piscines privées. Vous, par contre, vous allez en chier.""","10 réponses, 85 Retweets, 262 J'aime"
356,Thom CSN ( UE hate account )@csn_thom·4s,En plus on a mis à disposition un jet privé+ il repart à Marseille après,
357,David Angevin@DavidAngevin·21 août,"Une poignée de collapsologues font le buzz contre les méchants riches... Et hop, @CBeaune envisage de réguler les vols en jet privé 
Politique de la com et de la démagogie. Misez sur le #nucléaire pour réduire le CO2, pas sur la com ! #Macron #écologie","23 réponses, 29 Retweets, 152 J'aime"
358,razki030775@razki030775·4h,"Régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme Clément Beaune",
359,Mike @mickabtc·25 août,"Message du gouvernement 

Laissez les riches faire du jet ski, 
Laissez les riches faire du jet privé,
Laissez les riches s’enrichir, 
Laissez les riches décider,
Et serrez vous la ceinture bande de gueux l’abondance c’est terminé*. 

(*pour vous)","1 réponse, 7 Retweets, 13 J'aime"
360,Maréchal Bideni Lulu@BokulakaLulu·24 août,"Le super ministre du football et du stade des martyrs, qui s'est déplacé en jet privé pour assister à la défaite de l'équipe nationale en différé au Maroc.","7 réponses, 7 Retweets, 28 J'aime"
361,Maxime Laisney@MaximeLaisneyFi·20 août,"""Tremblez, bourgeois !"" Non, c'est juste une beaune blague... Comme sur tous les sujets, la droite macroniste s'en remet aux oligarques pour qu'ils changent d'eux-mêmes leurs sales pratiques, tandis que Macron nous enjoint à faire des efforts de guerre...","2 réponses, 14 Retweets, 18 J'aime"
362,Alain Lambert@alainlambert·20 août,C’est plus facile de s’occuper de cela que des rodéos urbains ! Dommage qu’un jeune doté d’autant de qualités fasse de la politique comme les vieux  /// Clément Beaune envisage de réguler les vols en jet privé,"127 réponses, 128 Retweets, 581 J'aime"
363,Nils Wilcke@paul_denton·23 août,"L'exécutif tente de verdir son image: ""La rentrée sera très verte"", confirme un conseiller de Macron à France Info. Le président devrait parler écologie au Medef et Clément Beaune veut ""réguler"" les vols en jet privé. Manière de tenter de reprendre la main face aux écolos...","9 réponses, 11 Retweets, 18 J'aime"
364,PEG@pegobry·24 août,« Ils sont venus pour les jets privés et je n’ai rien dit parce que je n’avais pas de jet privé… »,"49 réponses, 40 Retweets, 37 J'aime"
365,marie@MarieMarilou_·13 min,Prix des énergies: Ecolo veut redistribuer les surprofits des entreprises énergétiques et taxer les vols en jet privé - RTL Info https://rtl.be/info/belgique/politique/ecolo-fait-sa-rentree-sous-le-signe-du-prix-de-l-energie-aujourd-hui-quasi-tout-le-monde-est-touche--1398577.aspx… via @rtlinfo,
366,Vané Fillubie@VaneFillubie·23 août,"Rappel que la pollution de 4344 tonnes de CO2 tuera en moyenne une personne ce siècle et que c'est le mêpe ordre de grandeur que la pollution annuelle d'un milliardaire en jet privé.

…https://www-futura--sciences-com.cdn.ampproject.org/v/s/www.futura-sciences.com/alternative/amp/actualite/81616/?amp_gsa=1&amp_js_v=a9&usqp=mq331AQKKAFQArABIIACAw%3D%3D#amp_tf=Source%C2%A0%3A%20%251%24s&aoh=16612508899547&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Fwww.futura-sciences.com%2Fsante%2Factualites%2Fvie-tonnes-carbone-faut-il-tuer-personne-81616%2F…","1 réponse, 1 J'aime"
367,Jane-O. φ agent classe 3  #NUPES@Jn_Bllt·21 août,"Les trolls ou robots de la macronarchie sont de services, sous ce tweet
M Boyard a raison de dénoncer, les jets privés annulent toutes nos actions de protection de l’environnement","2 Retweets, 4 J'aime"
368,Guillaume Roussel@rousselguillau7·20 août,"Message à #JulienBayou 

A force de tout supprimer, nous allons revenir au temps des cavernes.
De homo Sapiens Sapiens, nous allons vers homo Sapiens Debilus
#jetprive","3 réponses, 2 Retweets, 17 J'aime"
369,Francois Bullock (Patriote XV)@FrancoisBulloc1·21 août,"Il n'est pas surprenant que Leonardo DiCaprio donne aux causes radicales de gauche.

Il fait partie de la cabale gauchiste d'Hollywood.

Il dépense des millions en carburéacteur pour son jet privé volant autour du monde..","2 Retweets, 2 J'aime"
370,sardine94@sardine94·25 août,"le principe de réalité, les #giletsJaunes et autres mouvements l'ont déjà bien compris.
vous êtes en train de dire que vous atterissez (jet privé ou vol commercial ? ) ? 

le pacte si pacte il y avait ne peut se faire que contre tous ces #assistésDuCAC40 et #délinquantsEnColBlanc","1 réponse, 5 Retweets, 11 J'aime"
371,Sophie de Ravinel@S2RVNL·3h,"""Je suis devenu, moi le socialiste, un extrémiste, même un islamo-gauchiste"", ironise Pierre Jouvet sous les rires de la foule insoumise réunie à Valence. ""Mais qui sont les extrémistes dans ce pays ? Ceux qui polluent avec un petit voyage de 10mn en jet privé pour leur plaisir.""","2 réponses, 2 Retweets, 11 J'aime"
372,Ezork @EzCr42·19 août,"Pendant que Bolloré et Arnault continuent de se balader en yacht et en jet privé sans aucun effort. 

Pensez à débrancher vos chargeurs les gueux ","3 réponses, 13 Retweets, 64 J'aime"
373,Aurélien Giraux@Aureli1enGiraux·27 août,"Véran opposé à l’interdiction des vols en jet privé, « créateurs d’emplois » - Le Point https://w.lpnt.fr/2487061t via @LePoint","1 réponse, 2 Retweets, 2 J'aime"
374,fabienne billat@fadouce·23 août," #Jets privés : ""Si les super pollueurs disposent de super dérogations, ça va être compliqué de demander des efforts aux Français""

""Une heure de jet privé va émettre autant de carbone qu'un Français dans sa voiture pendant une année""
Via @LO974","5 réponses, 10 Retweets, 17 J'aime"
375,COVID1984@pasauteuil·21 août,"On.peut refaire la blague communiste...
-Camarade, si tu avais un jet privé, le accepterais tu de ne pas l'utiliser?
-Oui
-Et donnerais tu ta voiture ?
-non, 
- pourquoi?
- parce que la voiture, je ai une.","2 réponses, 6 Retweets, 16 J'aime"
376,Mathieu Chassignet@M_Chassignet·23 août,"""Pour rappeler les ordres de grandeur, une heure de jet privé va émettre autant de carbone qu'un Français dans sa voiture pendant une année entière. Nous sommes dans une démesure totale qu'il est urgent de régler.""","17 réponses, 37 Retweets, 146 J'aime"
377,Glop@glop_gloppy·23 août,JET privé VS avion de ligne….,"1 réponse, 1 Retweet, 10 J'aime"
378,Stein van Oosteren@LCyclable·23 août,"Il y a des emplois derrière tout, mais on ne peut pas tout justifier en disant qu'il y a des emplois derrière.

Il ne s'agit pas de détruire des emplois mais de préserver notre écosystème et de créer plus de nouveaux emplois qu'on n'en détruira. #jetprivé","11 réponses, 6 Retweets, 47 J'aime"
379,Pascal Dohogne@PascalRtl·31 min,Prix des énergies: Ecolo veut redistribuer les surprofits des entreprises énergétiques et taxer les vols en jet privé,
380,Mac Lesggy@MacLesggy·23 août,"Je n'ai ni jet privé, ni piscine (ni actions relatives). Mais j'ai une conscience, et, chose trop peu partagée, un sens minimal des ordres de grandeur.","8 réponses, 3 Retweets, 26 J'aime"
381,Benoit @TheReaper1980·26 août,"Il va vraiment loin, le jet privé de Bernard Arnault",1 J'aime
382,Jonnhy Dunal@dunaljonnhy·24 août," Buzz ou pas, la régulation des vols en #jetprivé est un sujet. Face à l'urgence climatique, chacun doit être responsable et exemplaire. Chacun en fonction de son impact. L'État, les acteurs économiques, les particuliers. Et aussi, les usagers de jets privés !","3 réponses, 2 Retweets, 23 J'aime"
383,JF Raux - Les questions qui dérangent…@RauxJF·20 août,"Je suis étonné que @EELV ne s’indigne pas du bilan carbone de l’armée : vol de Rafale (pire que jet privé), chars surconsommant (pire que les SUV), bateau de guerre hyper polluant (pire de yacht). 
Prônons une armée à vélo, à cheval et à voile pour sortir de cet insupportable.","8 réponses, 4 Retweets, 45 J'aime"
384,What the fuck is going on in Paris ?@FrancoisDiot1·24 août,Je signale qu'il n'y a ni piscine ni barbecue...,4 J'aime
385,Annabelle @annelabellle·20 août,"Hey @lesechos, utiliser les transports en commun (train, vols réguliers, covoiturage) plutôt que son jet privé ferait baisser drastiquement les émissions de CO2.
N'hésitez pas non plus à sermonner les concernés ","1 réponse, 1 Retweet, 12 J'aime"
386,Samuel Nohra@SamuelNohra·22 août,Les jets ne servent pas qu’aux loisirs des riches! Ils servent aussi aux transports d’organes et transferts sanitaires urgents @julienbayou #jetprive,"15 réponses, 7 Retweets, 19 J'aime"
387,Richard sur Terre@richardsurterre·21 août,"Ce déni de mondialisme est incroyable...

Un riche français à qui tu refuses la possession d'un jet privé va l'immatriculer ailleurs. Et s'il n'a pas le droit d'atterrir en France, il atterrira à Bruxelles pour ensuite prendre un jet ""public"" pour finir le trajet jusqu'à Paris.","16 réponses, 6 Retweets, 90 J'aime"
388,StructuresMinimalistes@Minimaliste13·3h,"Ou bien que ""l'écologie pragmatique des petits gestes sauf quand le petit geste c'est ne pas prendre son jet privé ou arrêter d'arroser un terrain de golf"" n'est plus de mise, ou bien acheter un climatiseur et se préparer à la guerre contre les pauvres.","2 réponses, 1 Retweet, 4 J'aime"
389,Romain@_romain_thn·21 août,"Oui blablabla la pente glissante on connaît
En attendant le jet privé et le yatch sont des non sens en terme d'efficacité énergétique
Assez comique de vouloir baisser l'efficacité pour un libertarien qui se branle sur le progrès","13 réponses, 1 Retweet, 103 J'aime"
390,Tribunal du net@Letribunaldunet·23 août,"""Réguler les vols en jet privé"" : le gouvernement veut agir dès la rentrée https://letribunaldunet.fr/ecologie/reguler-vols-en-jet-prive-gouvernement-agir.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1661261069…",
391,Jean Marc Morandini@morandiniblog·23 août,"Débat sur la régulation des vols en jet privé : ""Il a valeur de symbole, et les symboles sont importants"" juge Olivier Véran précisant qu'il est ""créateur d'emplois"" - VIDEO #jetprivé #OlivierVéran","6 réponses, 1 Retweet, 7 J'aime"
392,Galbéelafille@galbeelafille·17h,Con comme ...un #JetPrivé !!,
393,Nice-Matin@Nice_Matin·24 août,"""J'ai mal à ma planète"": polémique après des vols en jet privé entre Nice et... Cannes https://bit.ly/3Kf1rq8","9 réponses, 14 Retweets, 15 J'aime"
394,Le Parisien | politique@leparisien_pol·20 août,"Environnement : Clément Beaune veut «réguler les vols en jet privé»
 https://l.leparisien.fr/JMF0","10 réponses, 15 Retweets, 9 J'aime"
395,Gauthier Pasquet@Gauthier_Pasq·22 août,"#MALI_ALERT
Le nouveau premier ministre du Mali #Abdoulaye_Maïga a ses enfants en #France où ils étudient dans les prestigieuses écoles de commerce #HEC, #ESSEC et #ESCP. L'un des enfants s'est vu offrir récemment un voyage en jet privé sur #zanzibar pour son anniversaire.","302 réponses, 79 Retweets, 243 J'aime"
396,Romain@_romain_thn·21 août,"Oui blablabla la pente glissante on connaît
En attendant le jet privé et le yatch sont des non sens en terme d'efficacité énergétique
Assez comique de vouloir baisser l'efficacité pour un libertarien qui se branle sur le progrès","13 réponses, 1 Retweet, 103 J'aime"
397,Dr Sergio Coma@sergio_coma·25 août,"Je roule peut-être en Porsche Cayenne (32 000 km cette année), mais j'ai diminué de 50% mes vols en jet privé et surtout je joue à Eco6thèmes avec mes jumeaux de 5 ans Madelin et Keynes. Et vous, vous avez fait quoi pour la planète à part vous lamenter ? ","17 réponses, 2 Retweets, 95 J'aime"
398,Pourquoi Pas@yannlbone·23 août,"Et quand tu vas faire le beau @olivierveran devant les caméras en jet privé pour dire que les hopitaux coûtent trop cher et sont au bord du gouffre, tu le vis bien?","2 réponses, 6 Retweets, 11 J'aime"
399,Pierre Griselin (34) @PGriselin·26 août,"Combien y a-t-il de bobos parisiens qui roulent en voiture donc qui ne prennent pas les transports en commun pour un seul jet privé ?

Impact CO2 des voitures bobos contre impact CO2 des jets privés ?

Mais le bobo ne se mélange pas au peuple du métro","3 réponses, 7 J'aime"
400,Guillaume Lannoo @GLannoo_off·22 août,"Ah, les fake news des macronistes 
Mélenchon n'est pas millionnaire.
le jet privé de Bernard Arnault et le billet de ligne de Mélenchon, c'est pas pareil.
rendre visite à 3 chefs d'états étrangers, c'est pas des vacances.","4 réponses, 3 Retweets, 11 J'aime"
401,Yves Besançon@YvesBesan·19 août,"Niveau de réflexion pathétique !
Vous trouvez accessoire qu'1milliardaire comme Bernard Arnault, du fait de l'usage de son jet privé, émet autant de carbone en un mois qu'un Français en 17 ans ?! Tout le monde doit faire des efforts et des efforts  proportionnels à ses revenus !","72 réponses, 12 Retweets, 245 J'aime"
402,Christophe @ChrisCapderou·24 août,Pourquoi on ne parle pas des voyages en jet privé des footballeurs acteurs et autres influenceurs ???,"6 réponses, 2 Retweets, 9 J'aime"
403,Marie ThibautdeMais@Marie_thibaut·23 août,"""Pour rappeler les ordres de grandeur, une heure de jet privé va émettre autant de carbone qu'un Français dans sa voiture pendant une année entière. Nous sommes dans une démesure totale qu'il est urgent de régler.""","28 réponses, 11 Retweets, 57 J'aime"
404,Jean-Marie HUPEL @jmhupel·23 août,Vous êtes suffisamment à ce point bête à manger du foin pour mettre sur le même plan l’extrême minorité qui jouit d’un jet privé et la personnes lambda qui installe un petit bassin dans son jardin? Vraiment? ,"12 réponses, 3 Retweets, 64 J'aime"
405,MathCham@mathcham·22 août,"Et en plus, on peut toutes et tous bien vivre sans jet privé !

Quel niveau de sobriété faut-il viser? https://energieetenvironnement.com/2021/10/31/quel-niveau-de-sobriete-faut-il-viser/… via @ChatHaret",1 J'aime
406,Clara Chassaniol@Cl_Chassaniol·20 août,"C’est le sens de l’histoire : il ne doit pas y avoir d’exemption à la responsabilité face au réchauffement climatique. 

Merci @CBeaune de te mobiliser pour réguler les vols en jet privé.","80 réponses, 21 Retweets, 88 J'aime"
407,EURACTIV France@EURACTIV_FR·22 août,Le gouvernement et les écologistes s’accordent sur le besoin de « réguler » les vols en jet privé,"4 Retweets, 1 J'aime"
408,Clément XO@Clementxov·23 août,"Mon jet privé crée des emplois pour eux...au Panama, Ile de Man, Caïman, Fidji et j'en passe... Eux ils font quoi pour l'emploi??","1 réponse, 10 J'aime"
409,poissecaille@poissecaille39·24 août,#GGRMC moi je viens en jet privé puis en 4X4 Turbo Mazout,"1 réponse, 4 J'aime"
410,Netguide@netguide·24 août,Par Numerama : Le passager d’un jet privé pollue jusqu’à 14 fois plus qu’un passager de vol commercial,
411,Romaric Godin@RomaricGodin·23 août,J’attends l’équation qui liera la minute de vol en jet privé aux créations d’emplois nettes dans le secteur privé…,"3 réponses, 17 Retweets, 138 J'aime"
412,Wolf Rimor@Wolf_Rimor·22 août,"Des économies de CO2 drastiysi on obligeait les riches a prendre le train? 
(Bernard Arnault a rejeté en juin, avec son jet privé, l'équivalent de 17ans d'un Français moyen)",3 J'aime
413,Drumpe@Drumpemag·22 août,Le jet privé de Steven Spielberg a brûlé 116 000 $ de kérosène en deux mois,
414,Mv@VincentAn70_·24 août,"Qu on laisse mon jet privé tranquille !

Merci !",1 J'aime
415,Ambroise Méjean@Ambroise_Mejean·21 août," Il y a ceux qui proposent de tout interdire, en France, avec un impact nul pour l'environnement.

Et il y a ceux qui ont compris que l'enjeu est celui d'un encadrement européen.

Au dogmatisme de @julienbayou, je préfère le pragmatisme de @CBeaune !","70 réponses, 103 Retweets, 413 J'aime"
416,HURIEL@Jfh82·22 août,"Faut-il interdire les vols en jet privé ?....
Pour une fois, la NUPES ne dit pas de conneries, avec la technologie actuelle, les voyages d'affaires n'ont plus lieu d'être. ","1 Retweet, 1 J'aime"
417,YoouKubeBot@YoouKube·24 août,Le passager d’un jet privé pollue jusqu’à 14 fois plus qu’un passager de vol commercial,
418,Hugo@HugoGIL1917·25 août,"Désolé pour mon absence cet été, c'était la galère pour rentrer des vacances, ces salopards d'écolo de merde on empêché mon jet privé de décoller.... 
J'ai pas pu faire autrement le trajet Melun-Thionville qu'en train... 
Vraiment désespérant la société aujourd'hui... Liberté...","3 réponses, 6 J'aime"
419,Jean Massiet #ZEVENT2022@JeanMassiet·21 août,"On va la jouer RP : Je m'appelle Chad, j'ai fait fortune dans les cryptomonnaies, je possède un jet privé et je vais aller de Paris à Grenoble pour participer à un débat avec @julienbayou aux universités d'été d'@EELV
http://twitch.tv/JeanMassiet","16 réponses, 36 Retweets, 847 J'aime"
420,Les Grandes Gueules@GG_RMC·24 août,"@GabMazzolini, (@amisdelaterre) face aux GG ! 

""Nous sommes dans un monde égoïste ! En 2020 et 2021 les bénéfices des plus grandes entreprises ont augmenté de 86% ! Aujourd'hui, le trafic de #jetprivé a augmenté de 20% dans toute l'Europe !""

#Climat
#Ecologie
#GGRMC","50 réponses, 29 Retweets, 64 J'aime"
421,Eglantine Delaleu@EglDll·23 août,"Colère d'E.Macron concernant la proposition de régulation des vols en jet privé de C.Beaune: ""Ça ne doit pas être le concours Lépine de toutes les idées mal ficelées ou démagos de ministres qui ont envie de faire parler d’eux. Que Matignon serre ça de plus près!"" @canardenchaine","32 réponses, 107 Retweets, 255 J'aime"
422,L'État de fumier @libertaire10·19 août,"Vols en jet privé, golfs arrosés : malgré la crise écologique, ces salauds de bourgeois ne se refusent rien  http://revolutionpermanente.fr/Vols-en-jet-prive-golfs-arroses-malgre-la-crise-ecologique-les-bourgeois-ne-se-refusent-rien… via @RevPermanente","2 Retweets, 1 J'aime"
423,Pillod jean christian@PillodC·23 août,"Les marxistes jalousent maladivement le succes.BArnault,LVMH+sous-traitants,assure emploi et pouvoir d'achats a>http://200000familles.Ses déplacements en jet privé augmentent son efficacité,donc défendent l'intéret de tous,et ne préjudicient rien.Virez donc ces minables",1 J'aime
424,cpolitic@blogcpolitic·23 août,"Aucun symbole ici. Efficacité totale !
1h de jet privé c'est 1 an d'émission de C02 d'un français moyen !
1 heure 》 1 an !!!","1 réponse, 6 Retweets, 15 J'aime"
425,Diogène d'Arc (Ph. Poigeaud) @DiogenedArc·23 août,"Au  l'avion privé est indispensable. Tous les candidats à la prochaine présidentielle dispose d'un jet, même Lula. Nous utilisons des avions taxis surtout dans le Nordeste et en Amazonie. Dans certaines zones isolées l'armée fait du transport aérien pour les particuliers.","2 réponses, 23 Retweets, 44 J'aime"
426,Jérémy Savatier @jeremy_savatier·23 août,"mais ils ne s'autorégulent pas tous seuls avec leurs jets....
""une heure de jet privé va émettre autant de carbone qu'un Français dans sa voiture pendant une année entière. Nous sommes dans une démesure totale qu'il est urgent de régler.""","2 réponses, 7 Retweets, 16 J'aime"
427,Eglantine Delaleu@EglDll·23 août,"Colère d'E.Macron concernant la proposition de régulation des vols en jet privé de C.Beaune: ""Ça ne doit pas être le concours Lépine de toutes les idées mal ficelées ou démagos de ministres qui ont envie de faire parler d’eux. Que Matignon serre ça de plus près!"" @canardenchaine","32 réponses, 107 Retweets, 255 J'aime"
428,Evil Colonel Sanders@Cortex7118·19 août,Pourquoi? Un jet privé pollue inutilement.,"4 réponses, 1 Retweet, 45 J'aime"
429,ZestLimon soutient l'Ukraine.@ZestLimon·25 août,Lâchez nous avec vous vos privés c'est une économie entière.,
430,Mike Genwald @micka2nim·21 août,toute façon au gouvernement ils se déplacent en hélicoptère donc ça ne les impactera pas trop,1 J'aime
431,Nantes ça dérape (gravement)@nantescaderape·20 août,L'interdiction des jets privés n'est pas liée à leurs émissions. C'est un leurre grossier. Ce qui gène les écolos c'est leur caractère privé. Assez logique pour les éco-soviétiques.,"3 Retweets, 18 J'aime"
432,henri krazuky@HKrazuky·21 août,Cela s’appliquerait aussi à nos chers élus ,1 J'aime
433,Patdiver@hpefr·24 août,"au gouvernement parlement senat de montrer l exemple fini le homard les jets prive les voitures appart de fonctions et les retraites dorées, maudite classe dirigeante","1 réponse, 16 Retweets, 49 J'aime"
434,Lesfrancais.press@francaispresse·23 août,Le gouvernement et les écologistes d’accord pour “réguler” les vols en jet privé,
435,Elise @MamanRodarde·27 août,"Coucou la commu ! Si vous êtes en panne d'inspiration, Arnault les bons tuyaux a trouvé un super moyen de laisser son jet privé au garage ! ","2 réponses, 11 Retweets, 22 J'aime"
436,Denverdino53@denverdino53·19 août,"Certaines personnes en commentaire puent la mauvaise fois en voulant protéger les milliardaires spoileur: ils veulent pas votre bien et il n'y que leurs intérêts qui les intéresse. Car oui, un jet privé ça pollue autant qu'une voiture sur un an tout cela en une journée.","2 réponses, 2 Retweets, 9 J'aime"
437,alexsitou@alexsitou·23 août,"Moi je respecte la minorité qui a un jet privé. Je suis content pour eux
L'envie et la jalousie est une tare française. Exclusivement française","14 réponses, 2 Retweets, 30 J'aime"
438,Laurent Majois@LaurentMajois·24 août,Le passager d’un jet privé pollue jusqu’à 14 fois plus qu’un passager de vol commercial,
439,L'État de fumier @libertaire10·22 août,"Vols en jet privé, golfs arrosés : malgré la crise écologique, les bourgeois ne se refusent rien  http://revolutionpermanente.fr/Vols-en-jet-prive-golfs-arroses-malgre-la-crise-ecologique-les-bourgeois-ne-se-refusent-rien… via @RevPermanente","2 Retweets, 1 J'aime"
440,Florence Sautereau@FloSautereau·24 août,"#abondance #Macron Difficile de remettre en cause le jet privé quand soi-même, aux frais des contribuables, on ne pense qu'à son petit plaisir indécent.",1 J'aime
441,MDOLIVIER@22MDOLIVIER23·22 août,"Les jets sont la cause de 0,14% des émissions de CO2 dans le monde.
Mais seulement 5% de ces vols sont d'ordre privé.
Donc ils sont responsables de 0,007% des émissions de CO2
P'tain c prioritaire effectivement !
Pov #Bayou Pov #écolos Pov #Bobos",3 Retweets
442,obelala@obelala·22 août,Un jet privé n'est pas la trottinette de fonction du PDG mais un réel outil de travail qui se transforme parfois en véhicule de service. Rien à voir avec les VTC ou taxi qu'empruntait Mélenchon pour ses déplacements au frais du contribuable,"5 réponses, 23 Retweets, 51 J'aime"
443,BFMTV@BFMTV·22 août," Un nouveau rendez-vous dans @PremiereEdition: le choix d'Angèle

 Ce matin, notre chroniqueuse a mené l'enquête sur l'essor des déplacements en jets privés

 Aujourd'hui, un vol sur dix est privé. Faut-il les réguler ?","8 réponses, 9 Retweets, 20 J'aime"
444,Benoit Malherbe@BenoitMalherbe1·22 août,Encore une ineptie de @OlivierBabeau qui défendrait n'importe quoi du moment que cela préserve à court terme l'intérêt des riches.,"6 réponses, 1 Retweet, 32 J'aime"
445,BB37000@BB37000_Parodie·24 août,"Alerte info

Contrairement aux équipes de foot qui volent en jet privé, les équipes du @top14rugby vont acquérir leurs propres trains pour les déplacements les soirs de match.

@StadeToulousain et le CAB Brive seront les premiers équipés.","6 réponses, 7 Retweets, 91 J'aime"
446,Colombet marie cli@CliColombet·5h,"VIDÉO - Régulation des vols en jet privé: ""Il ne peut y avoir qu'une seule position, celle du président"", affirme Clément Beaune https://bfmtv.com/politique/gouvernement/regulation-des-vols-en-jet-prive-il-ne-peut-y-avoir-qu-une-seule-position-celle-du-president-affirme-clement-beaune_VN-202208270253.html… via @BFMTV",1 réponse
447,Αρετή  (nihilist shitposting)@Volte97·23 août,"Eh mais les commentaires, je vais câbler : il y a vraiment des gens qui considèrent parfaitement pertinent de comparer la situation des ""riches"" privés de jets privé et de piscine à celle des juifs sous le régime nazi ????? Mais on est où là, faut être complètement teubé ?!","1 réponse, 1 Retweet, 11 J'aime"
448,Stéphane Baly  @StefBaly·23 août,Pointer la contradiction entre l'appel à l'extinction du wifi et le maintien d'écrans publicitaires ou les trajets en jet privé... Un propos entendu hier lors de l'atelier la plénière @Cedis_Formation ,"1 réponse, 2 Retweets, 9 J'aime"
449,razki030775@razki030775·23 août,"Julien Bayou dénonce ""les vols caprices"" en jet privé qui polluent ""10 fois plus que des vols classiques""",
450,Hospitality ON@HospitalityONfr·19 août,[#Destinations] Four Seasons lance des voyages en jet privé,"1 Retweet, 1 J'aime"
451,Jacques Briet@JacquesBriet·25 août,"Hier, je m'interrogeais (gravement) sur la question du pipi en plein vol.
Réponse : c'est parfaitement possible, et on a le temps (11.000 km d'autonomie) mais faut pas choisir le plus petit modèle de jet privé :
https://aeroaffaires.fr/location-jet-prive/jets-vvip/airbus-a319-cj/…",
452,Robot De l'Info@RDelinfo·21 août,"Clément Beaune envisage de réguler les vols en jet privé - https://1001rss.com/clement-beaune-envisage-de-reguler-les-vols-en-jet-prive-20220820/2022/08/21/…
Le ministre délégué aux Transports évoque auprès du Parisien des pistes pour limiter le recours aux avions privés par les particuliers et les entreprises, en particulier sur les courtes distanc...",
